유이, 부천판타스틱 영화제 GV 참석.."스크린 데뷔 영광"	스포츠조선
'전참시' 유이 매니저, 고속도로 장트러블 투혼→염밍아웃…'대폭소'	텐아시아
유이, 피트니스 콘텐츠 '유이의 라스트핏' 구독자수 10만명 돌파	디지틀조선일보
유이, 시크+우아..영화 속 한 장면 같은 몽환적 분위기[화보]	스포츠조선
'전참시' 유이 매니저 "유이, 친형보다 더 형 같아" 깜짝 고백 이유	스포츠서울
[DAY컷] 유이, 망고 엄마의 탄탄 건강 美	스포츠동아
유이, 거친 바닷가 느낌 담아낸 분위기 맛집[화보]	뉴스엔
유이, 거친 바닷가 느낌 담아낸 분위기 맛집[화보]	뉴스엔
우리가 몰랐던 유이, 그가 전하는 일상의 행복	노컷뉴스
'다만 악에서 구하소서 파이널컷' 황정민X이정재X박정민 완전체…예고편 공개	헤럴드POP
‘나 혼자 산다’ 유이, 건강미 폭발하는 폴댄스 공개	국민일보
유이 '그림자까지 아름다워'[엑's HD포토]	엑스포츠뉴스
`전참시` 유이 매니저 "유이누나, 동네형 같아"…장트러블 투혼	매일경제
[공카 위클리] 프린세스 커넥트 10월 3주차, 한국 서버도 전용 캐릭터가 나올...	게임메카
“범접 불가” 유이, 파격 세미누드 화보 공개 [EN스타]	서울신문
유이, 설렘 가득한 눈망울~[포토엔HD]	뉴스엔
[RE:TV] '전참시' 유이, 털털함+배려심 다 갖춘 '매력 부자' 등장	뉴스1
유이, 설렘 가득한 눈망울~[포토엔HD]	뉴스엔
유이, 파도 바라보며 사색(화보)	뉴스컬처
[RE:TV] '전참시' 유이, 털털함+배려심 다 갖춘 '매력 부자' 등장	뉴스1
'전참시' 유이 매니저 "유이, 친형보다 형 같은 누나"…왜?	한국일보
[화보] 유이, 매혹적인 분위기	톱데일리
'전참시' 유이, 매니저가 장트러블 일으키자 눈물 흘린 이유는?	아시아경제
'다만악' 파이널컷, 10월 21일 개봉 확정 '러닝타임 6분 14초 추가'	스포티비뉴스
유이 재능기부, NGO 굿네이버스와 '주거지원 캠페인' 선한 영향력	데일리한국
'나혼산' 유이, 눕방 라이프→맵부심 먹방...자취 3년차 리얼 일상	YTN
유이, 클린 섹슈얼 세미 누드 화보 공개(화보)	문화뉴스
유이, 국내주거지원 캠페인 위해 재능기부 "관심이 작은 시작"	한국일보
'나혼산' 유이, 눕방 라이프→맵부심 먹방...자취 3년차 리얼 일상	YTN
배우 유이, 가을 여신으로 변신…고혹적 카리스마 발산	디지털타임스
유이, 클린 섹슈얼 세미 누드 화보 공개(화보)	문화뉴스
삼양식품, '불닭소스' 모델로 '유이' 선정	뉴시스
[툭-tv] `전참시` 유이, 여린 속마음+사회성 만렙…매니저와 보여준 `형제 케...	매일경제
'SF8' 최시원X유이의 완벽 케미가 만들어낼 핑크빛 SF의 세계	스포츠조선
'전참시' 유이, 매니저 일촉즉발 장트러블 몸부림에 "XXX 힘줘!"	헤럴드POP
황정민X이정재X박정민 '다만악' 6분 추가 확장판, 10월21일 개봉	뉴스컬처
‘전참시’ 유이 “매니저, 속마음 다 이야기 하는 친구, 소개하고 싶어 출연...	MK스포츠
'나혼자산다' 유이, 인간 '유이' 삶 공개	광주매일신문
'전참시' 유이, 물티슈 클렌징→매니저 장트러블..유일무이 매력	스타뉴스
[SC리뷰] 유이=여배우NO 동네형?..'전참시' 매니저와 '찐형제' 케미	스포츠조선
'나혼자산다' 유이, 유유자적 눕방 라이프→불타는 맵부심	일간스포츠
[화보IS] 유이, 운동으로 완성한 탄탄한 건강미	일간스포츠
유이, 원피스 살짝 들고 사뿐사뿐~[포토엔HD]	뉴스엔
'4개월 관리했다' 유이, 과감한 세미누드 화보 공개	머니투데이
'나 혼자 산다' 유이 출격, '프로눕방러' 예고	한국경제
'전참시' 유이 "91년생인 매니저, 이사님으로 오해받아" 폭소	마이데일리
'다만 악에서 구하소서 파이널컷' 6분14초 추가... 오는 21일 극장 개봉	톱데일리
'나 혼자 산다' 유이 출격, '프로눕방러' 예고	한국경제
'전참시' 유이, 물티슈 클렌징→매니저 복통에 눈물 '매력 폭발'	한국일보
'전참시' 유이 "91년생인 매니저, 이사님으로 오해받아" 폭소	마이데일리
'다만 악에서 구하소서 파이널컷' 6분14초 추가... 오는 21일 극장 개봉	톱데일리
[N컷] 민낯+안경…'나혼자산다' 유이, '눕방 라이프' 공개	뉴스1
배우 유이, 국내주거지원 캠페인에 재능 기부 참여	비욘드포스트
[공식] 유이, 'SF8-증강 콩깍지'로 BIFAN GV참석 "스크린 데뷔 영광"	스포츠조선
[포토]유이, '미모에 시선이~'	일간스포츠
돌아온 꿀벅지 `유이의 라스트핏`, 구독자수 10만명 돌파	매일경제
유이, 출연 고대하던 '전참시' 출연…동네 형 같은 일상 공개	이데일리
[포토]유이, '미모에 시선이~'	일간스포츠
돌아온 꿀벅지 `유이의 라스트핏`, 구독자수 10만명 돌파	매일경제
유이, 부천국제판타스틱영화제 GV 참석 "스크린 데뷔 영광"	텐아시아
유이, 출연 고대하던 '전참시' 출연…동네 형 같은 일상 공개	이데일리
‘다만 악…파이널컷’ 개봉…추가된 6분 14초 어떤 내용 담았을까	뉴스토마토
'개는 훌륭하다' 유이-남이안, 일일 견학생으로 출연	한국경제
유이, 주거 빈곤층 위해 재능기부 “불안해하는 아이들 마음 아파”	뉴스엔
"넘사벽 털털美"…'전참시' 유이, 이런 모습이?	TV리포트
'나혼자산다' 유이, 연예인 생활 고충 토로 "내가 문제가 있나..."	스포츠조선
‘나 혼자 산다’ 배우 유이, 담담하게 소중한 일상의 행복	한국경제
‘나 혼자 산다’ 배우 유이, 담담하게 소중한 일상의 행복	한국경제
'전참시' 유이, 이렇게 털털하다니..매니저 "누나 아닌 형 같아"	스타뉴스
유이, 파격 세미 누드 화보…완벽한 뒤태 자랑	매일신문
[TV북마크] ‘전참시’ 유이, 매니저와의 역대급 찐형제 케미 발산 (종합)	스포츠동아
유이 '불닭소스' 모델로 발탁..매운맛 열풍 이끈다	헤럴드POP
'나 혼자 산다' 유이, 3년차 자취러의 눕방 라이프 공개	텐아시아
유이 "내가 나를 사랑해주는 것이 건강한 삶"	일간스포츠
‘증강콩깍지’ 최시원X유이, 핑크빛 케미 발산 “로코 또 했으면”	MBC연예
[어게인TV]"친형보다 더 형 같은 누나"..'전참시' 유이, 매니저가 고백한 털털...	헤럴드POP
[포토]유이, '미모에 빛이 나네'	일간스포츠
"동네 형 같다"..'전참시' 유이, 넘사벽 털털 매력→매니저 장트러블 스릴러 ...	헤럴드POP
[포토]유이, '미모에 빛이 나네'	일간스포츠
'나혼자 산다' 유이, 폴댄스 도전 '연예인 생활 고충 고백도..'	이데일리
[D:FOCUS] 유이, 소녀미와 성숙미 오가는 매력	데일리안
‘개훌륭’ 유이X남이안, 반려견의 고민 해결 방법	국민일보
'나혼산' 유이, 뱃살·거식증 악플 극복…"몸만큼 중요한 건 마음"	뉴시스
유이, 실루엣마저 치명적인 `섹시美`	MK스포츠
"성덕 됐다"…'맵부심' 부리던 유이, '불닭소스' 모델 발탁에 감격	텐아시아
유이, 이것이 파격이다 [화보]	스포츠경향
'전참시' 매니저 "유이, 친형보다 더 형 같다"..털털함의 극치	enews24
유이, 이것이 파격이다 [화보]	스포츠경향
'전참시' 매니저 "유이, 친형보다 더 형 같다"..털털함의 극치	enews24
유이 세미 누드 화보 공개…원조 꿀벅지의 완벽 보디라인	매일경제
유이, 우아한 미모	서울경제
유이, 홈트 강사 도전…"게임 하듯 운동해요"	머니투데이
“매니저가 세미누드 봐도 돼” 유이 ‘전참시’ 형 된 털털 매력[어제TV]	뉴스엔
유이, 살찌고 더욱 건강하게 예뻐진 미모~[포토엔HD]	뉴스엔
[N컷] '나혼자산다' 유이, 폴댄스 실력 과시…연예인 생활 고충 고백까지	뉴스1
유이, 부천판타스틱영화제 GV 참석…"스크린 데뷔 영광"	매일경제
'전참시' 유이, 장트러블 매니저에 "XXX 힘줘!"..'완전 털털'	enews24
'전참시' 유이, 장트러블 매니저에 "XXX 힘줘!"..'완전 털털'	enews24
유이, 탄탄한 보디라인 [화보]	스포츠경향
'전참시' 유이, 동네 형 같은 털털 매력…매니저와 찐케미	뉴스1
유이, 역대급 상의 탈의 화보…폴댄스로 완성한 바디라인	한국경제
[포토]질문에 답하는 유이	이데일리
유이 화보, 제주 자연 속 인형 미모 자랑…몽환美란 이런 것	매일경제
[포토]유이, '영화배우로서 첫 발걸음'	일간스포츠
유이, 파격 세미 누드 공개..군살제로 완벽 보디라인[화보]	헤럴드POP
유이, 청순美 폭발한 미모...'이러니 안 반해?'	뉴스컬처
[공식] 유이, '개는 훌륭하다' 출격..반려견 망고와 함께 등장	스포츠조선
유이, 청량한 제주 자연 속 몽환적 매력[화보]	뉴스엔
[공식] 유이, '개는 훌륭하다' 출격..반려견 망고와 함께 등장	스포츠조선
